sample_id,food_name,category,gt_min,gt_max,condition,run_id,predicted_days,in_range,abs_error,raw_response_excerpt
f03,딸기 500g,fruit,3,7,few_shot_cot,2,4,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 4,   ""reasoning"": ""신선 과일(베리류), 냉장 3~7일 범위의 중간값"" } ```"
f04,포도 1송이,fruit,5,10,baseline,0,7,1,0,"```json {""food_name"": ""포도 1송이"", ""estimated_days"": 7} ```"
f04,포도 1송이,fruit,5,10,baseline,1,10,1,0,"```json {""food_name"": ""포도 1송이"", ""estimated_days"": 10} ```"
f04,포도 1송이,fruit,5,10,baseline,2,10,1,0,"```json {""food_name"": ""포도 1송이"", ""estimated_days"": 10} ```"
f04,포도 1송이,fruit,5,10,cot,0,10,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""포도는 신선식품(과일)이며 냉장(4°C) 보관이 일반적입니다. 냉장 보관 시 7~14일 정도 보관 가능하며, '1송이'라는 단위는 보관"
f04,포도 1송이,fruit,5,10,cot,1,10,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""포도는 신선식품(과일)으로 냉장(4°C) 보관 시 일반적으로 7~14일 보관 가능하며, 1송이라는 단위는 보관기한에 큰 영향을 주지 않"
f04,포도 1송이,fruit,5,10,cot,2,10,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""포도는 신선 과일로 냉장 보관 시 일반적으로 7~14일 보관 가능하며, 1송이라는 수량은 보관기한에 큰 영향을 주지 않으므로 중간값인 "
f04,포도 1송이,fruit,5,10,few_shot_cot,0,8,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 8,   ""reasoning"": ""신선과일, 냉장 5~10일 범위"" } ```"
f04,포도 1송이,fruit,5,10,few_shot_cot,1,7,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 냉장 5~10일 범위의 중간값"" } ```"
f04,포도 1송이,fruit,5,10,few_shot_cot,2,7,1,0,"```json {   ""food_name"": ""포도 1송이"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 냉장 5~10일 범위의 중간값"" } ```"
f05,귤 1kg,fruit,10,21,baseline,0,21,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""estimated_days"": 21 } ```"
f05,귤 1kg,fruit,10,21,baseline,1,14,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""estimated_days"": 14 } ```"
f05,귤 1kg,fruit,10,21,baseline,2,14,1,0,"```json {""food_name"": ""귤 1kg"", ""estimated_days"": 14} ```"
f05,귤 1kg,fruit,10,21,cot,0,10,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""귤은 신선식품(과일)으로, 일반 가정에서 냉장(4°C) 보관 시 7~14일 정도가 일반적인 보관기한이며, 1kg이라는 수량은 보관기한에 "
f05,귤 1kg,fruit,10,21,cot,1,14,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""신선식품 (과일)"",   ""storage"": ""냉장 (4°C)"",   ""estimated_days"": 14,   ""reasoning"": ""귤은 신선식품(과일)이며, 일반 가정에서 신선도 유지를 위해 냉장 보관하는 것이 가장 일반적입니다. 냉장 보관 시 일반적으로 14~2"
f05,귤 1kg,fruit,10,21,cot,2,21,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 21,   ""reasoning"": ""귤은 신선식품(과일)이며, 일반 가정에서 가장 일반적인 보관 방법은 냉장(4°C)이며, 이 경우 2~4주(14~28일) 보관이 가능하므로"
f05,귤 1kg,fruit,10,21,few_shot_cot,0,21,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 21,   ""reasoning"": ""신선과일, 냉장 보관 시 일반적으로 2~4주"" } ```"
f05,귤 1kg,fruit,10,21,few_shot_cot,1,10,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""fruit"",   ""storage"": ""실온 (서늘하고 통풍 잘 되는 곳)"",   ""estimated_days"": 10,   ""reasoning"": ""신선과일, 실온 1~2주 범위의 중간값"" } ```"
f05,귤 1kg,fruit,10,21,few_shot_cot,2,10,1,0,"```json {   ""food_name"": ""귤 1kg"",   ""category"": ""fruit"",   ""storage"": ""실온"",   ""estimated_days"": 10,   ""reasoning"": ""신선 과일, 실온(서늘한 곳) 보관 시 1~2주"" } ```"
f06,사과,fruit,21,42,baseline,0,45,0,3,"```json {""food_name"": ""사과"", ""estimated_days"": 45} ```"
f06,사과,fruit,21,42,baseline,1,45,0,3,"```json {   ""food_name"": ""사과"",   ""estimated_days"": 45 } ```"
f06,사과,fruit,21,42,baseline,2,45,0,3,"```json {""food_name"": ""사과"", ""estimated_days"": 45} ```"
f06,사과,fruit,21,42,cot,0,45,0,3,"```json {   ""food_name"": ""사과"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 45,   ""reasoning"": ""사과는 신선식품(과일)이며, 일반 가정에서는 냉장(4°C) 보관이 가장 일반적입니다. 냉장 보관 시 일반적으로 4~8주(약 28~56일) 보관"
f06,사과,fruit,21,42,cot,1,21,1,0,"```json {   ""food_name"": ""사과"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 21,   ""reasoning"": ""사과는 신선식품(과일)이며, 일반 가정에서는 냉장 보관이 가장 일반적입니다. 냉장 보관 시 사과는 보통 14~28일 정도 보관 가능하며, 수량"
f06,사과,fruit,21,42,cot,2,21,1,0,"```json {   ""food_name"": ""사과"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 21,   ""reasoning"": ""사과는 신선식품(과일)이며, 일반 가정에서는 냉장 보관이 가장 일반적이고, 냉장 보관 시 통상 2~4주(14~28일) 보관 가능하므로 중간값인"
f06,사과,fruit,21,42,few_shot_cot,0,45,0,3,"```json {   ""food_name"": ""사과"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 45,   ""reasoning"": ""신선과일, 냉장 1~2개월"" } ```"
f06,사과,fruit,21,42,few_shot_cot,1,30,1,0,"```json {   ""food_name"": ""사과"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 30,   ""reasoning"": ""신선과일, 냉장 1개월"" } ```"
f06,사과,fruit,21,42,few_shot_cot,2,30,1,0,"```json {   ""food_name"": ""사과"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 30,   ""reasoning"": ""신선 과일, 냉장 보관 시 1개월 내외"" } ```"
f07,딸기 1팩,fruit,3,7,baseline,0,3,1,0,"```json {""food_name"": ""딸기 1팩"", ""estimated_days"": 3} ```"
f07,딸기 1팩,fruit,3,7,baseline,1,5,1,0,"```json {""food_name"": ""딸기 1팩"", ""estimated_days"": 5} ```"
f07,딸기 1팩,fruit,3,7,baseline,2,4,1,0,"```json {""food_name"": ""딸기 1팩"", ""estimated_days"": 4} ```"
f07,딸기 1팩,fruit,3,7,cot,0,5,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딸기는 신선식품(과일)으로 분류되며, 일반 가정에서는 냉장(4°C) 보관이 가장 일반적입니다. 냉장 보관 시 일반적으로 3~7일 정도의 보"
f07,딸기 1팩,fruit,3,7,cot,1,5,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딸기는 신선식품(과일)으로 분류되며, 일반 가정에서는 냉장(4°C) 보관이 가장 흔합니다. 냉장 보관 시 일반적으로 3~7일 정도 보관 가"
f07,딸기 1팩,fruit,3,7,cot,2,5,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딸기는 신선식품(과일)으로 냉장 보관 시 일반적으로 3~7일 보관 가능하며, 1팩 단위는 보관기한에 직접 영향이 없어 보수적으로 5일로 추"
f07,딸기 1팩,fruit,3,7,few_shot_cot,0,5,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 5,   ""reasoning"": ""신선 과일, 냉장 3~7일 범위의 중간값"" } ```"
f07,딸기 1팩,fruit,3,7,few_shot_cot,1,4,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 4,   ""reasoning"": ""신선과일, 냉장 3~7일 범위의 보수적 값"" } ```"
f07,딸기 1팩,fruit,3,7,few_shot_cot,2,5,1,0,"```json {   ""food_name"": ""딸기 1팩"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 5,   ""reasoning"": ""신선과일, 냉장 3~7일"" } ```"
f08,키위 5개입,fruit,14,28,baseline,0,14,1,0,"```json {""food_name"": ""키위 5개입"", ""estimated_days"": 14} ```"
f08,키위 5개입,fruit,14,28,baseline,1,21,1,0,"```json {""food_name"": ""키위 5개입"", ""estimated_days"": 21} ```"
f08,키위 5개입,fruit,14,28,baseline,2,10,0,4,"```json {""food_name"": ""키위 5개입"", ""estimated_days"": 10} ```"
f08,키위 5개입,fruit,14,28,cot,0,14,1,0,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""신선식품"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 14,   ""reasoning"": ""키위는 신선식품(과일)으로, 일반 가정에서 냉장(4°C) 보관 시 일반적으로 7~21일 보관 가능하며, 5개입은 보관기한에 영향을 주지 않으므"
f08,키위 5개입,fruit,14,28,cot,1,21,1,0,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 21,   ""reasoning"": ""키위는 신선식품(과일)으로, 일반 가정에서 신선도 유지를 위해 냉장(4°C) 보관하는 것이 일반적이며, 이 경우 2~4주(14~28일)"
f08,키위 5개입,fruit,14,28,cot,2,14,1,0,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 14,   ""reasoning"": ""키위는 신선 과일로, 신선도 유지를 위해 냉장 보관하는 것이 일반적입니다. 잘 익은 키위는 냉장 보관 시 일반적으로 1~2주(7~14일"
f08,키위 5개입,fruit,14,28,few_shot_cot,0,10,0,4,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 10,   ""reasoning"": ""신선과일, 냉장 보관 시 1~2주"" } ```"
f08,키위 5개입,fruit,14,28,few_shot_cot,1,21,1,0,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 21,   ""reasoning"": ""신선과일, 냉장 보관 시 2~4주"" } ```"
f08,키위 5개입,fruit,14,28,few_shot_cot,2,10,0,4,"```json {   ""food_name"": ""키위 5개입"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 10,   ""reasoning"": ""신선과일, 냉장 보관 시 1~2주"" } ```"
f09,딱딱 복숭아 3개,fruit,4,8,baseline,0,7,1,0,"```json {""food_name"": ""딱딱 복숭아 3개"", ""estimated_days"": 7} ```"
f09,딱딱 복숭아 3개,fruit,4,8,baseline,1,7,1,0,"```json {""food_name"": ""딱딱 복숭아 3개"", ""estimated_days"": 7} ```"
f09,딱딱 복숭아 3개,fruit,4,8,baseline,2,6,1,0,"```json {""food_name"": ""딱딱 복숭아 3개"", ""estimated_days"": 6} ```"
f09,딱딱 복숭아 3개,fruit,4,8,cot,0,5,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딱딱 복숭아는 신선식품(과일)이며, 일반 가정에서는 냉장 보관한다. 냉장 보관 시 복숭아의 일반적인 보관기한은 3~7일이며, 수량은"
f09,딱딱 복숭아 3개,fruit,4,8,cot,1,5,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""신선식품(과일)인 딱딱 복숭아는 냉장 보관 시 일반적으로 3~7일간 신선도를 유지하며, 3개라는 수량은 개별 보관"
f09,딱딱 복숭아 3개,fruit,4,8,cot,2,7,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""신선식품(과일/채소)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 7,   ""reasoning"": ""딱딱 복숭아는 신선과일로 분류되며, 소비기한 연장을 위해 냉장 보관하는 것이 일반적입니다. 냉장 보관 시 딱딱한 복숭아는 보통"
f09,딱딱 복숭아 3개,fruit,4,8,few_shot_cot,0,5,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""fruit"",   ""storage"": ""실온 후 냉장"",   ""estimated_days"": 5,   ""reasoning"": ""신선 과일, 딱딱한 복숭아는 실온에서 숙성 후 냉장 보관 시 약 5-7일"" } ```"
f09,딱딱 복숭아 3개,fruit,4,8,few_shot_cot,1,6,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 6,   ""reasoning"": ""신선 과일, 냉장 5~7일 범위의 중간값"" } ```"
f09,딱딱 복숭아 3개,fruit,4,8,few_shot_cot,2,7,1,0,"```json {   ""food_name"": ""딱딱 복숭아 3개"",   ""category"": ""fruit"",   ""storage"": ""실온/냉장"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 딱딱한 복숭아는 실온에서 숙성 후 냉장 보관 시 5~8일"" } ```"
f10,방울토마토 500g,fruit,5,8,baseline,0,10,0,2,"```json {""food_name"": ""방울토마토 500g"", ""estimated_days"": 10} ```"
f10,방울토마토 500g,fruit,5,8,baseline,1,10,0,2,"```json {""food_name"": ""방울토마토 500g"", ""estimated_days"": 10} ```"
f10,방울토마토 500g,fruit,5,8,baseline,2,10,0,2,"```json {""food_name"": ""방울토마토 500g"", ""estimated_days"": 10} ```"
f10,방울토마토 500g,fruit,5,8,cot,0,10,0,2,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""신선식품(과일/채소)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""방울토마토는 신선식품(과일/채소)이며, 일반 가정에서는 냉장(4°C) 보관이 가장 일반적입니다. 냉장 보관 시 일반적으로 "
f10,방울토마토 500g,fruit,5,8,cot,1,5,1,0,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""신선식품(과일/채소)"",   ""storage"": ""실온"",   ""estimated_days"": 5,   ""reasoning"": ""방울토마토는 신선식품(과일/채소)이며, 일반 가정에서 맛과 신선도를 위해 실온 보관이 일반적입니다. 실온 보관 시 일반적으로 3~7일"
f10,방울토마토 500g,fruit,5,8,cot,2,10,0,2,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 10,   ""reasoning"": ""방울토마토는 신선식품(과일)이며, 일반 가정에서는 신선도 유지를 위해 냉장(4°C) 보관하는 것이 일반적입니다. 냉장 보관 시 "
f10,방울토마토 500g,fruit,5,8,few_shot_cot,0,12,0,4,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 12,   ""reasoning"": ""신선 과일(방울토마토), 냉장 보관 시 10~14일 범위의 중간값"" } ```"
f10,방울토마토 500g,fruit,5,8,few_shot_cot,1,5,1,0,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""vegetable"",   ""storage"": ""실온"",   ""estimated_days"": 5,   ""reasoning"": ""신선 과채류, 실온 3~7일 범위"" } ```"
f10,방울토마토 500g,fruit,5,8,few_shot_cot,2,7,1,0,"```json {   ""food_name"": ""방울토마토 500g"",   ""category"": ""vegetable"",   ""storage"": ""냉장"",   ""estimated_days"": 7,   ""reasoning"": ""신선 채소, 냉장 5~10일 범위의 중간값"" } ```"
v01,양파 1망,vegetable,30,60,baseline,0,60,1,0,"```json {""food_name"": ""양파 1망"", ""estimated_days"": 60} ```"
v01,양파 1망,vegetable,30,60,baseline,1,60,1,0,"```json {""food_name"": ""양파 1망"", ""estimated_days"": 60} ```"
v01,양파 1망,vegetable,30,60,baseline,2,90,0,30,"```json {""food_name"": ""양파 1망"", ""estimated_days"": 90} ```"
v01,양파 1망,vegetable,30,60,cot,0,60,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""실온"",   ""estimated_days"": 60,   ""reasoning"": ""양파는 신선식품(채소)이며, 일반 가정에서는 실온(서늘하고 건조하며 통풍이 잘 되는 곳)에 보관하는 것이 일반적입니다. 통양파의"
v01,양파 1망,vegetable,30,60,cot,1,45,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""실온"",   ""estimated_days"": 45,   ""reasoning"": ""양파는 신선채소로, 껍질째 서늘하고 건조한 실온에 보관 시 일반적으로 1~2개월(30~60일) 보관 가능하며, 1망이라는 수량은"
v01,양파 1망,vegetable,30,60,cot,2,60,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""실온"",   ""estimated_days"": 60,   ""reasoning"": ""양파는 신선 채소로, 일반 가정에서 실온(서늘하고 건조하며 통풍이 잘 되는 곳)에 보관 시 보통 1~2개월(약 30~60일) 보"
v01,양파 1망,vegetable,30,60,few_shot_cot,0,45,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""vegetable"",   ""storage"": ""실온/냉장"",   ""estimated_days"": 45,   ""reasoning"": ""장기보존 채소, 1~2개월"" } ```"
v01,양파 1망,vegetable,30,60,few_shot_cot,1,45,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""vegetable"",   ""storage"": ""실온/냉장"",   ""estimated_days"": 45,   ""reasoning"": ""장기보존 채소, 1~2개월"" } ```"
v01,양파 1망,vegetable,30,60,few_shot_cot,2,45,1,0,"```json {   ""food_name"": ""양파 1망"",   ""category"": ""vegetable"",   ""storage"": ""실온/냉장"",   ""estimated_days"": 45,   ""reasoning"": ""장기보존 채소, 1~2개월"" } ```"
v02,양파 1kg,vegetable,30,60,baseline,0,90,0,30,"```json {""food_name"": ""양파 1kg"", ""estimated_days"": 90} ```"
v02,양파 1kg,vegetable,30,60,baseline,1,90,0,30,"```json {""food_name"": ""양파 1kg"", ""estimated_days"": 90} ```"
v02,양파 1kg,vegetable,30,60,baseline,2,60,1,0,"```json {""food_name"": ""양파 1kg"", ""estimated_days"": 60} ```"
v02,양파 1kg,vegetable,30,60,cot,0,30,1,0,"```json {   ""food_name"": ""양파 1kg"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""실온"",   ""estimated_days"": 30,   ""reasoning"": ""양파는 신선식품(채소)이며, 일반 가정에서는 서늘하고 건조한 실온에 보관하는 것이 일반적입니다. 통양파는 실온에서 대략 1~2"
v02,양파 1kg,vegetable,30,60,cot,1,60,1,0,"```json {   ""food_name"": ""양파 1kg"",   ""category"": ""신선식품(과일/채소/육류/수산물)"",   ""storage"": ""실온"",   ""estimated_days"": 60,   ""reasoning"": ""양파는 신선식품(채소)으로 분류되며, 일반 가정에서는 서늘하고 건조한 실온에 보관하는 것이 가장 일반적입니다. 실온 보관 시 "
v02,양파 1kg,vegetable,30,60,cot,2,60,1,0,"```json {   ""food_name"": ""양파 1kg"",   ""category"": ""신선식품 (채소)"",   ""storage"": ""실온"",   ""estimated_days"": 60,   ""reasoning"": ""양파는 신선 채소로 분류되며, 통 양파는 일반적으로 실온의 서늘하고 건조한 곳에 보관 시 1~2개월까지 보관 가능하므로 60일로 추정하며, 1"
